# tracer: function
#
# entries-in-buffer/entries-written: 739/739   #P:4
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
          <idle>-0       [003] d.h1. 83409.180643: irq_handler_entry: irq=2 name=IPI
          <idle>-0       [003] dNh1. 83409.180647: irq_handler_exit: irq=2 ret=handled
          <idle>-0       [001] dnh1. 83409.180783: irq_handler_entry: irq=1 name=IPI
          <idle>-0       [001] dNh1. 83409.180783: irq_handler_exit: irq=1 ret=handled
          <idle>-0       [003] d.h1. 83409.181333: irq_handler_entry: irq=2 name=IPI
          <idle>-0       [003] dNh1. 83409.181335: irq_handler_exit: irq=2 ret=handled
            bash-6444    [003] d.h.. 83409.181389: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [001] dnh1. 83409.181394: irq_handler_entry: irq=1 name=IPI
            bash-6444    [003] d.h.. 83409.181394: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [001] dNh1. 83409.181394: irq_handler_exit: irq=1 ret=handled
          <idle>-0       [001] dNh1. 83409.181397: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [001] dNh1. 83409.181408: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [000] d.h1. 83409.181417: irq_handler_entry: irq=2 name=IPI
          <idle>-0       [000] d.h1. 83409.181418: irq_handler_exit: irq=2 ret=handled
          <idle>-0       [000] d.H1. 83409.181421: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [000] d.H1. 83409.181422: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [002] d.h1. 83409.181424: irq_handler_entry: irq=2 name=IPI
          <idle>-0       [002] dNh1. 83409.181426: irq_handler_exit: irq=2 ret=handled
          <idle>-0       [001] d.h1. 83409.182587: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [001] d.h1. 83409.182588: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [000] d.h1. 83409.182633: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [000] d.h1. 83409.182634: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [003] d.h1. 83409.182634: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [003] d.h1. 83409.182636: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [003] d.h1. 83409.183580: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [001] d.h1. 83409.183582: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [003] d.h1. 83409.183582: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [001] d.h1. 83409.183583: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [000] d.h1. 83409.183587: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [000] d.h1. 83409.183588: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [000] d.h1. 83409.184595: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [003] d.h1. 83409.184595: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [001] d.h1. 83409.184596: irq_handler_entry: irq=10 name=arch_timer
