861:[TRACE] CPU0 idx=320 ts=1392022730 type=0xff3d DEFER_REQUEUE_FLAGS aux_tid<<16|flags=1281
867:[TRACE] CPU0 idx=326 ts=1392022783 type=0x0703 VIRTGPU_Q_COMPLETE used_idx_after<<16|head_desc_idx=1745879040
868:[TRACE] CPU0 idx=327 ts=1392022783 type=0x0711 VIRTGPU_WAIT_COMPLETION_EXIT resource_id<<16|cmd_type=131589
869:[TRACE] CPU0 idx=328 ts=1392022787 type=0x0704 VIRTGPU_RESPONSE resp_type=4352
870:[TRACE] CPU0 idx=329 ts=1392022793 type=0x0700 VIRTGPU_CMD_SUBMIT seq<<16|cmd_type=1745748227
871:[TRACE] CPU0 idx=330 ts=1392022793 type=0x0701 VIRTGPU_CMD_RESOURCE resource_id=2
872:[TRACE] CPU0 idx=331 ts=1392022795 type=0x0702 VIRTGPU_Q_NOTIFY used_idx_before<<16|head_desc_idx=1745879040
873:[TRACE] CPU0 idx=332 ts=1392022796 type=0x0710 VIRTGPU_WAIT_COMPLETION_ENTER resource_id<<16|cmd_type=131331
874:[TRACE] CPU0 idx=333 ts=1392023449 type=0x0703 VIRTGPU_Q_COMPLETE used_idx_after<<16|head_desc_idx=1745944576
875:[TRACE] CPU0 idx=334 ts=1392023449 type=0x0711 VIRTGPU_WAIT_COMPLETION_EXIT resource_id<<16|cmd_type=131331
876:[TRACE] CPU0 idx=335 ts=1392023452 type=0x0704 VIRTGPU_RESPONSE resp_type=4352
877:[TRACE] CPU0 idx=336 ts=1392023453 type=0x070c VIRTGPU_FLUSH_ENTER resource_id<<16|helper_id<<8|caller_tag=131078
878:[TRACE] CPU0 idx=337 ts=1392023454 type=0x0700 VIRTGPU_CMD_SUBMIT seq<<16|cmd_type=1745813764
879:[TRACE] CPU0 idx=338 ts=1392023454 type=0x0701 VIRTGPU_CMD_RESOURCE resource_id=2
880:[TRACE] CPU0 idx=339 ts=1392023456 type=0x0702 VIRTGPU_Q_NOTIFY used_idx_before<<16|head_desc_idx=1745944576
881:[TRACE] CPU0 idx=340 ts=1392023456 type=0x0710 VIRTGPU_WAIT_COMPLETION_ENTER resource_id<<16|cmd_type=131332
882:[TRACE] CPU0 idx=341 ts=1392023644 type=0xff10 WAIT_TIMEOUT_STAGE stage<<16|tid=14
883:[TRACE] CPU0 idx=342 ts=1392023645 type=0xff11 WAIT_TIMEOUT_SP sp_low32=1411798160
884:[TRACE] CPU0 idx=343 ts=1392023648 type=0xff12 WAIT_TIMEOUT_X30 x30_low32=1075301500
885:[TRACE] CPU0 idx=344 ts=1392023648 type=0xff28 WAIT_TIMEOUT_SLOT20 slot20_low32=1411798172
886:[TRACE] CPU0 idx=345 ts=1392023712 type=0x0001 CTX_SWITCH_ENTRY old_tid<<16|new_tid=917504
894:[TRACE] CPU0 idx=353 ts=1392044567 type=0x0001 CTX_SWITCH_ENTRY old_tid<<16|new_tid=14
896:[TRACE] CPU0 idx=355 ts=1392044568 type=0xff39 DEFER_REQUEUE_STAGE stage<<16|tid=196608
897:[TRACE] CPU0 idx=356 ts=1392044569 type=0xff3a DEFER_REQUEUE_SP sp_low32=1107296064
898:[TRACE] CPU0 idx=357 ts=1392044569 type=0xff3b DEFER_REQUEUE_ELR elr_low32=1074588060
899:[TRACE] CPU0 idx=358 ts=1392044569 type=0xff3c DEFER_REQUEUE_X30 x30_low32=1074588060
900:[TRACE] CPU0 idx=359 ts=1392044569 type=0xff3d DEFER_REQUEUE_FLAGS aux_tid<<16|flags=1281
906:[TRACE] CPU0 idx=365 ts=1392044619 type=0x0703 VIRTGPU_Q_COMPLETE used_idx_after<<16|head_desc_idx=1746010112
907:[TRACE] CPU0 idx=366 ts=1392044619 type=0x0711 VIRTGPU_WAIT_COMPLETION_EXIT resource_id<<16|cmd_type=131332
908:[TRACE] CPU0 idx=367 ts=1392044623 type=0x0704 VIRTGPU_RESPONSE resp_type=4352
909:[TRACE] CPU0 idx=368 ts=1392044623 type=0x070d VIRTGPU_FLUSH_EXIT resource_id<<16|helper_id<<8|caller_tag=131078
910:[TRACE] CPU0 idx=369 ts=1392044629 type=0x070b BWM_COMPOSITE_FRAME_EXIT status=0
912:[TRACE] CPU0 idx=371 ts=1392044804 type=0x0001 CTX_SWITCH_ENTRY old_tid<<16|new_tid=917521
914:[TRACE] CPU0 idx=373 ts=1392044809 type=0xff39 DEFER_REQUEUE_STAGE stage<<16|tid=196622
915:[TRACE] CPU0 idx=374 ts=1392044810 type=0xff3a DEFER_REQUEUE_SP sp_low32=1411801088
916:[TRACE] CPU0 idx=375 ts=1392044810 type=0xff3b DEFER_REQUEUE_ELR elr_low32=1073778948
917:[TRACE] CPU0 idx=376 ts=1392044810 type=0xff3c DEFER_REQUEUE_X30 x30_low32=1073779000
918:[TRACE] CPU0 idx=377 ts=1392044810 type=0xff3d DEFER_REQUEUE_FLAGS aux_tid<<16|flags=3074
925:[TRACE] CPU0 idx=384 ts=1392044878 type=0xff39 DEFER_REQUEUE_STAGE stage<<16|tid=65550
926:[TRACE] CPU0 idx=385 ts=1392044879 type=0xff3a DEFER_REQUEUE_SP sp_low32=1411801088
927:[TRACE] CPU0 idx=386 ts=1392044879 type=0xff3b DEFER_REQUEUE_ELR elr_low32=1073778948
928:[TRACE] CPU0 idx=387 ts=1392044879 type=0xff3c DEFER_REQUEUE_X30 x30_low32=1073779000
929:[TRACE] CPU0 idx=388 ts=1392044880 type=0xff3d DEFER_REQUEUE_FLAGS aux_tid<<16|flags=3074
935:[TRACE] CPU0 idx=394 ts=1392055318 type=0x0001 CTX_SWITCH_ENTRY old_tid<<16|new_tid=1114126
949:[TRACE] CPU0 idx=408 ts=1392055389 type=0x0001 CTX_SWITCH_ENTRY old_tid<<16|new_tid=917504
951:[TRACE] CPU0 idx=410 ts=1392055391 type=0xff39 DEFER_REQUEUE_STAGE stage<<16|tid=196622
952:[TRACE] CPU0 idx=411 ts=1392055391 type=0xff3a DEFER_REQUEUE_SP sp_low32=1411801088
953:[TRACE] CPU0 idx=412 ts=1392055391 type=0xff3b DEFER_REQUEUE_ELR elr_low32=1073779532
954:[TRACE] CPU0 idx=413 ts=1392055391 type=0xff3c DEFER_REQUEUE_X30 x30_low32=1073779516
955:[TRACE] CPU0 idx=414 ts=1392055391 type=0xff3d DEFER_REQUEUE_FLAGS aux_tid<<16|flags=3074
957:[TRACE] CPU0 idx=416 ts=1392085557 type=0xff39 DEFER_REQUEUE_STAGE stage<<16|tid=65550
958:[TRACE] CPU0 idx=417 ts=1392085557 type=0xff3a DEFER_REQUEUE_SP sp_low32=1411801088
959:[TRACE] CPU0 idx=418 ts=1392085558 type=0xff3b DEFER_REQUEUE_ELR elr_low32=1073779532
960:[TRACE] CPU0 idx=419 ts=1392085558 type=0xff3c DEFER_REQUEUE_X30 x30_low32=1073779516
961:[TRACE] CPU0 idx=420 ts=1392085558 type=0xff3d DEFER_REQUEUE_FLAGS aux_tid<<16|flags=3074
964:[TRACE] CPU0 idx=423 ts=1392168513 type=0x0001 CTX_SWITCH_ENTRY old_tid<<16|new_tid=14
966:[TRACE] CPU0 idx=425 ts=1392168521 type=0xff39 DEFER_REQUEUE_STAGE stage<<16|tid=196608
967:[TRACE] CPU0 idx=426 ts=1392168521 type=0xff3a DEFER_REQUEUE_SP sp_low32=1107296064
