# tracer: nop
#
# entries-in-buffer/entries-written: 1338/1338   #P:2
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
     kworker/0:0-3233    [000] d.h1. 36819.062868: xhci_inc_deq: EVENT 0000000025a93397: enq 0x000000004fbf4000(0x000000004fbf4000) deq 0x000000004fbf4020(0x000000004fbf4000) segs 1 stream 0 bounce 0 cycle 1
          <idle>-0       [001] d.s2. 36819.096442: xhci_hub_status_data: port 2-0: 0x00201203 Powered Connected Enabled Link:U0 PortSpeed:4 Change: PRC Wake: 
          <idle>-0       [001] d.s2. 36819.096450: xhci_hub_status_data: port 2-1: 0x00001203 Powered Connected Enabled Link:U0 PortSpeed:4 Change: Wake: 
          <idle>-0       [001] d.s2. 36819.096453: xhci_hub_status_data: port 2-2: 0x00001203 Powered Connected Enabled Link:U0 PortSpeed:4 Change: Wake: 
          <idle>-0       [001] d.s2. 36819.096456: xhci_hub_status_data: port 2-3: 0x000002a0 Powered Not-connected Disabled Link:RxDetect PortSpeed:0 Change: Wake: 
          <idle>-0       [001] d.s2. 36819.096460: xhci_hub_status_data: port 2-4: 0x000002a0 Powered Not-connected Disabled Link:RxDetect PortSpeed:0 Change: Wake: 
          <idle>-0       [001] d.s2. 36819.096463: xhci_hub_status_data: port 2-5: 0x000002a0 Powered Not-connected Disabled Link:RxDetect PortSpeed:0 Change: Wake: 
          <idle>-0       [001] d.s2. 36819.096467: xhci_hub_status_data: port 2-6: 0x000002a0 Powered Not-connected Disabled Link:RxDetect PortSpeed:0 Change: Wake: 
          <idle>-0       [001] d.s2. 36819.096470: xhci_hub_status_data: port 2-7: 0x000002a0 Powered Not-connected Disabled Link:RxDetect PortSpeed:0 Change: Wake: 
          <idle>-0       [001] d.s2. 36819.096474: xhci_hub_status_data: port 2-8: 0x000002a0 Powered Not-connected Disabled Link:RxDetect PortSpeed:0 Change: Wake: 
          <idle>-0       [001] d.s2. 36819.096478: xhci_hub_status_data: port 2-9: 0x000002a0 Powered Not-connected Disabled Link:RxDetect PortSpeed:0 Change: Wake: 
          <idle>-0       [001] d.s2. 36819.096481: xhci_hub_status_data: port 2-10: 0x000002a0 Powered Not-connected Disabled Link:RxDetect PortSpeed:0 Change: Wake: 
          <idle>-0       [001] d.s2. 36819.096485: xhci_hub_status_data: port 2-11: 0x000002a0 Powered Not-connected Disabled Link:RxDetect PortSpeed:0 Change: Wake: 
     kworker/0:0-3233    [000] d..1. 36819.140514: xhci_get_port_status: port 2-0: 0x00201203 Powered Connected Enabled Link:U0 PortSpeed:4 Change: PRC Wake: 
     kworker/0:0-3233    [000] d..1. 36819.140773: xhci_get_port_status: port 2-0: 0x00001203 Powered Connected Enabled Link:U0 PortSpeed:4 Change: Wake: 
     kworker/0:0-3233    [000] ..... 36819.196673: xhci_setup_device_slot: RS 00000 UNKNOWN speed Ctx Entries 0 MEL 0 us Port# 0/0 [TT Slot 0 Port# 0 TTT 0 Intr 0] Addr 0 State enabled/disabled
     kworker/0:0-3233    [000] ..... 36819.196677: xhci_setup_addressable_virt_device: vdev 000000008c37d6e7 ctx 6153d000 | 6153e000 num 0 state 5 speed 5 port 1 level 1 slot 1
     kworker/0:0-3233    [000] ..... 36819.196678: xhci_address_ctx: ctx_64=0, ctx_type=2, ctx_dma=@6153d000, ctx_va=@00000000acdad395
     kworker/0:0-3233    [000] ..... 36819.196680: xhci_address_ctrl_ctx: Add: slot ep0
     kworker/0:0-3233    [000] d..1. 36819.196681: xhci_setup_device: vdev 000000008c37d6e7 ctx 6153d000 | 6153e000 num 0 state 5 speed 5 port 1 level 1 slot 1
     kworker/0:0-3233    [000] d..1. 36819.196685: xhci_queue_trb: CMD: Address Device Command: ctx 000000006153d000 slot 1 flags b:C
     kworker/0:0-3233    [000] d..1. 36819.196686: xhci_inc_enq: CMD 000000003daf44b1: enq 0x000000004fbf3020(0x000000004fbf3000) deq 0x000000004fbf3010(0x000000004fbf3000) segs 1 stream 0 bounce 0 cycle 1
     kworker/0:0-3233    [000] d..1. 36819.196688: xhci_ring_host_doorbell: Ring doorbell for Command Ring 0
          <idle>-0       [000] d.h2. 36819.196823: xhci_handle_event: EVENT: TRB 000000004fbf3010 status 'Success' len 0 slot 1 ep 0 type 'Command Completion Event' flags e:C
          <idle>-0       [000] d.h2. 36819.196824: xhci_handle_command: CMD: Address Device Command: ctx 000000006153d000 slot 1 flags b:C
          <idle>-0       [000] d.h2. 36819.196826: xhci_handle_cmd_addr_dev: RS 00000 super-speed Ctx Entries 1 MEL 0 us Port# 1/0 [TT Slot 0 Port# 0 TTT 0 Intr 0] Addr 1 State addressed
